Essay,Prompt
essay001.txt,Students should be taught to collaborate. 
essay002.txt,Immigrated people should keep their cultural identity and origin values.
essay003.txt,International tourism has benefits to the economic development and environment of the tourist destinations.
essay004.txt,International tourism does not have benefits to the cultural attributes and the natural environment of the tourist destinations.
essay005.txt,Living and studying overseas has benefits to individuals. 
essay006.txt,Studying abroad has benefits to students.
essay007.txt,Newspapers will become a thing of the past. 
essay010.txt,Governments should spend more money on improving roads and highways
essay013.txt,Technology inspires children's creativity instead of weakening it. 
essay014.txt,Students learn more from their teachers than from other source.
essay015.txt,Email and text messaging threats written language
essay016.txt,Using animals for the benefit of the human beings is acceptable.
essay017.txt,Television is the culprit for destroying communication between friends & family
essay018.txt,Universities should accept equal numbers of students of both genders.
essay019.txt,It will be better for young adults to live with their parents.
essay020.txt,Private individuals and companies should pay for cleaning up air pollution. 
essay021.txt,Advertising is the major reason for high sales of a product.
essay022.txt,Young people should go to university.
essay023.txt,Mobile phones have positive effects on the society. 
essay024.txt,Computer has negative effects to children. 
essay025.txt,The advantages of building a factory will outweigh its disadvantages. 
essay026.txt,Prepared food is not a good thing.
essay028.txt,Modern society needs advertising.
essay030.txt,Government should not pay for the university fees. 
essay031.txt,Alternative forms of transport and international laws on controlling automobiles are necessary.
essay032.txt,Giving aid to poorer countries has more positive effects than negative effect
essay033.txt,Globalization has positive effects.
essay034.txt,Students should study at school.
essay035.txt,High sales reflect power of advertising instead the real need. 
essay036.txt,Guns should be strictly limited.
essay037.txt,International sporting occasions help to ease international tensions. 
essay038.txt,Technology has more positive effects on society.
essay039.txt,Human beings should travel to outer space. 
essay040.txt,Having a part time job will offer students benefits. 
essay041.txt,Students will benefit from unpaid work. 
essay042.txt,Paying more money is the only motivation to make employees work harder
essay044.txt,Government should make more effort to promote alternative sources of energy
essay045.txt,Governments should not be responsible to help the unemployed and homeless
essay047.txt,Zoos should be built to protect rural animals
essay048.txt,Distance learning and online computer classes should replace classroom learning
essay049.txt,Modern communication will benefits the majority of people in the globe.
essay051.txt,Universities should give money to libraries instead of sport activities
essay053.txt,Using animals for the benefit of the human beings is not acceptable.
essay054.txt,Museums and art galleries will not disappear.
essay055.txt,Teenagers should learn all school subjects instead of focusing on one subject
essay057.txt,Creativity should be given feedom. 
