ID,SET,PROMPT LABEL,ESSAY LABEL,DELTA
essay001,TEST,2.0,1.0,-1.0
essay001,TEST,2.0,2.0,0.0
essay001,TEST,0.0,-1.0,-1.0
essay002,TRAIN,1.0,0.0,-1.0
essay002,TRAIN,2.0,2.0,0.0
essay002,TRAIN,1.0,0.0,-1.0
essay003,TRAIN,1.0,1.0,0.0
essay003,TRAIN,2.0,0.0,-2.0
essay003,TRAIN,2.0,2.0,0.0
essay004,TRAIN,1.0,1.0,0.0
essay004,TRAIN,1.0,1.0,0.0
essay004,TRAIN,2.0,1.0,-1.0
essay005,TRAIN,1.0,1.0,0.0
essay005,TRAIN,1.0,2.0,1.0
essay005,TRAIN,1.0,0.0,-1.0
essay006,VALIDATION,2.0,2.0,0.0
essay006,VALIDATION,2.0,2.0,0.0
essay006,VALIDATION,1.0,1.0,0.0
essay007,TRAIN,2.0,2.0,0.0
essay007,TRAIN,1.0,1.0,0.0
essay007,TRAIN,1.0,1.0,0.0
essay010,TRAIN,2.0,2.0,0.0
essay010,TRAIN,1.0,1.0,0.0
essay010,TRAIN,1.0,1.0,0.0
essay013,TEST,1.0,1.0,0.0
essay013,TEST,2.0,2.0,0.0
essay013,TEST,0.0,0.0,0.0
essay014,TRAIN,1.0,2.0,1.0
essay014,TRAIN,0.0,1.0,1.0
essay014,TRAIN,2.0,2.0,0.0
essay015,TRAIN,2.0,2.0,0.0
essay015,TRAIN,1.0,0.0,-1.0
essay015,TRAIN,2.0,2.0,0.0
essay016,TRAIN,0.0,2.0,2.0
essay016,TRAIN,1.0,0.0,-1.0
essay016,TRAIN,1.0,2.0,1.0
essay017,TRAIN,-1.0,0.0,1.0
essay017,TRAIN,2.0,2.0,0.0
essay017,TRAIN,2.0,1.0,-1.0
essay018,TEST,2.0,2.0,0.0
essay018,TEST,-1.0,-1.0,0.0
essay018,TEST,1.0,2.0,1.0
essay019,TRAIN,1.0,2.0,1.0
essay019,TRAIN,2.0,2.0,0.0
essay019,TRAIN,-1.0,1.0,2.0
